===SelfControl-Killer Log File===

SelfControl Version: 3.0.3
System Version: Mac OS X Version 10.15.6 (Build 19G73)Launchd daemons loaded:

PID	Status	Label
block return out proto tcp from any to 103.4.96.0/22
block return out proto udp from any to 103.4.96.0/22
block return out proto tcp from any to 69.63.176.0/20
block return out proto udp from any to 69.63.176.0/20
block return out proto tcp from any to 2001:4998:44:3507::8001
block return out proto udp from any to 2001:4998:44:3507::8001
block return out proto tcp from any to 2001:4998:44:3507::8000
block return out proto udp from any to 2001:4998:44:3507::8000
block return out proto tcp from any to 2001:4998:124:1507::f001
block return out proto udp from any to 2001:4998:124:1507::f001
block return out proto tcp from any to 2001:4998:124:1507::f000
block return out proto udp from any to 2001:4998:124:1507::f000
block return out proto tcp from any to 74.6.231.21
block return out proto udp from any to 74.6.231.21
block return out proto tcp from any to 74.6.231.20
block return out proto udp from any to 74.6.231.20
block return out proto tcp from any to 74.6.143.25
block return out proto udp from any to 74.6.143.25
block return out proto tcp from any to 74.6.143.26
block return out proto udp from any to 74.6.143.26
block return out proto tcp from any to 2001:4998:124:1507::f000
block return out proto udp from any to 2001:4998:124:1507::f000
block return out proto tcp from any to 2001:4998:44:3507::8001
block return out proto udp from any to 2001:4998:44:3507::8001
block return out proto tcp from any to 2001:4998:44:3507::8000
block return out proto udp from any to 2001:4998:44:3507::8000
block return out proto tcp from any to 2001:4998:124:1507::f001
block return out proto udp from any to 2001:4998:124:1507::f001
block return out proto tcp from any to 74.6.231.20
block return out proto udp from any to 74.6.231.20
block return out proto tcp from any to 74.6.231.21
block return out proto udp from any to 74.6.231.21
block return out proto tcp from any to 74.6.143.25
block return out proto udp from any to 74.6.143.25
block return out proto tcp from any to 74.6.143.26
block return out proto udp from any to 74.6.143.26
block return out proto tcp from any to 2600:1408:2000:182::2e1
block return out proto udp from any to 2600:1408:2000:182::2e1
block return out proto tcp from any to 2600:1408:2000:198::2e1
block return out proto udp from any to 2600:1408:2000:198::2e1
block return out proto tcp from any to 104.121.108.212
block return out proto udp from any to 104.121.108.212
block return out proto tcp from any to 2a03:2880:f203:e5:face:b00c:0:4420
block return out proto udp from any to 2a03:2880:f203:e5:face:b00c:0:4420
